Fecha,Temp_Media_C,Temp_Maxima_C,Temp_Minima_C,Humedad_Media_Pct,Precip_Total_mm,Viento_Maximo_kmh,Viento_Direccion_Grados,Presion_Media_hPa,Irrad_Solar_MJm2
2009-01-01,11.3,13.8,9.2,77.0,0.0,21.2,307.0,1019.8,4.92
2009-01-02,10.5,12.2,7.2,83.0,0.4,14.4,297.0,1017.4,2.92
2009-01-03,9.4,11.0,7.0,80.0,0.1,27.0,45.0,1016.0,1.22
2009-01-04,8.7,12.6,5.0,65.0,0.0,35.6,328.0,1017.3,8.32
2009-01-05,6.5,10.4,4.3,63.0,0.0,40.3,306.0,1014.6,8.82
2009-01-06,4.7,8.3,2.1,77.0,15.0,27.0,316.0,1010.8,3.22
2009-01-07,3.1,7.6,0.9,74.0,2.1,30.6,334.0,1012.4,5.92
2009-01-08,3.2,6.1,2.25,64.0,0.0,31.0,308.0,1018.7,4.92
2009-01-09,8.3,10.8,3.6,71.0,5.2,37.8,20.0,1018.3,3.82
2009-01-10,9.3,12.5,6.3,80.0,13.8,28.1,321.0,1022.1,5.72
2009-01-11,9.5,14.4,6.1,67.0,0.0,34.9,346.0,1028.1,9.52
2009-01-12,9.8,15.8,4.8,55.0,0.0,26.3,303.0,1025.8,9.72
2009-01-13,7.6,13.2,4.2,55.0,0.0,43.9,317.0,1017.1,9.72
2009-01-14,8.6,12.7,5.9,61.0,0.0,37.8,319.0,1015.8,8.82
2009-01-15,8.6,14.4,4.0,68.0,0.0,33.1,341.0,1015.9,9.92
2009-01-16,9.5,13.5,5.1,72.0,0.0,21.6,72.0,1021.9,7.22
2009-01-17,9.4,14.7,6.1,72.0,0.0,25.2,317.0,1023.1,8.92
2009-01-18,10.2,16.2,5.0,63.0,0.0,36.4,316.0,1018.9,9.52
2009-01-19,12.5,17.4,7.9,72.0,0.0,33.8,305.0,1007.0,8.42
2009-01-20,10.3,13.4,6.6,53.0,0.0,37.1,307.0,1001.1,10.92
2009-01-21,7.4,11.6,4.3,54.0,0.0,43.2,335.0,1009.8,10.92
2009-01-22,8.7,11.9,5.4,62.0,0.2,49.0,298.0,1008.4,6.32
2009-01-23,15.2,21.5,9.1,66.0,0.0,47.9,300.0,997.9,6.12
2009-01-24,13.2,17.7,8.6,44.0,0.0,99.0,283.0,993.9,7.12
2009-01-25,11.0,16.6,7.7,51.0,0.0,42.1,291.0,998.7,11.12
2009-01-26,8.4,13.4,6.9,57.0,0.0,56.9,298.0,1000.3,8.92
2009-01-27,9.9,14.9,6.2,52.0,0.0,52.9,338.0,1008.2,11.62
2009-01-28,10.5,16.1,5.1,58.0,0.0,44.3,344.0,1011.4,10.82
2009-01-29,11.3,14.7,8.0,79.0,0.0,16.2,176.0,1013.8,4.22
2009-01-30,12.5,14.6,11.3,79.0,0.0,14.4,171.0,1013.5,3.12
2009-01-31,11.7,14.4,10.1,89.0,22.0,21.6,186.0,1004.8,2.32
2009-02-01,10.1,12.2,7.7,88.0,15.1,30.2,144.0,996.8,2.52
2009-02-02,10.2,12.8,8.0,89.0,15.3,23.4,50.0,992.5,2.72
2009-02-03,9.6,12.9,7.9,78.0,9.8,26.3,287.0,997.8,6.72
2009-02-04,11.5,17.3,7.4,64.0,0.0,32.0,221.0,999.1,12.42
2009-02-05,11.0,13.5,8.8,81.0,1.4,19.8,239.0,998.0,4.42
2009-02-06,10.3,14.4,7.2,73.0,0.5,35.3,321.0,992.2,9.32
2009-02-07,7.8,12.7,4.8,58.0,0.0,55.1,305.0,994.7,12.42
2009-02-08,8.5,13.7,3.9,45.0,0.0,42.8,304.0,1006.0,11.32
2009-02-09,11.9,18.0,5.0,62.0,0.0,34.6,283.0,1013.3,9.62
2009-02-10,13.4,18.0,8.7,47.0,0.0,50.4,287.0,1014.0,8.92
2009-02-11,8.7,13.5,6.0,59.0,0.0,46.8,331.0,1017.9,8.32
2009-02-12,9.6,13.6,5.7,66.0,0.0,34.9,77.0,1017.3,11.62
2009-02-13,8.9,12.5,6.9,64.0,0.0,22.0,218.0,1019.1,10.72
2009-02-14,9.6,14.5,5.4,64.0,0.0,28.1,358.0,1018.4,12.32
2009-02-15,7.9,10.1,6.5,57.0,0.0,18.0,92.0,1023.7,6.02
2009-02-16,9.1,12.5,6.9,68.0,0.0,21.6,148.0,1023.3,9.82
2009-02-17,10.4,15.4,6.2,59.0,0.0,31.0,293.0,1021.6,13.82
2009-02-18,11.5,18.7,7.2,56.0,0.0,53.6,301.0,1017.7,14.52
2009-02-19,11.4,16.8,7.3,71.0,0.1,27.0,227.0,1021.0,13.52
2009-02-20,10.1,13.7,7.0,58.0,0.0,20.9,117.0,1026.7,11.62
2009-02-21,9.5,15.6,5.1,69.0,0.0,25.9,103.0,1026.0,12.82
2009-02-22,11.5,17.7,6.1,57.0,0.0,42.5,304.0,1024.3,15.12
2009-02-23,12.0,18.0,8.5,61.0,0.0,45.0,303.0,1017.6,13.42
2009-02-24,11.4,17.0,7.7,73.0,0.0,24.8,160.0,1018.2,14.52
2009-02-25,11.0,16.0,8.2,71.0,0.0,20.5,130.0,1026.2,11.42
2009-02-26,11.6,16.3,7.7,72.0,0.0,32.8,211.0,1025.7,15.82
2009-02-27,13.3,20.1,8.7,63.0,0.0,22.7,288.0,1018.6,15.72
2009-02-28,11.1,15.0,7.5,77.0,0.0,20.5,162.0,1014.3,6.02
2009-03-01,11.8,15.9,9.8,78.0,0.4,16.6,309.0,1012.1,5.62
2009-03-02,11.7,17.3,7.9,78.0,0.8,16.6,75.0,1016.7,8.72
2009-03-03,11.0,14.0,8.5,77.0,1.8,22.3,184.0,1015.3,4.72
2009-03-04,9.3,13.1,6.1,78.0,2.2,41.4,323.0,996.1,5.12
2009-03-05,7.6,13.2,5.0,56.0,0.0,66.6,304.0,989.6,13.52
2009-03-06,10.4,16.5,5.5,37.0,0.0,51.8,294.0,999.8,18.52
