Fecha,Temp_Media_C,Temp_Maxima_C,Temp_Minima_C,Humedad_Media_Pct,Precip_Total_mm,Viento_Maximo_kmh,Viento_Direccion_Grados,Presion_Media_hPa,Irrad_Solar_MJm2
2009-01-01,12.2,14.4,10.3,72.0,0.0,18.7,80.0,1019.6,5.12
2009-01-02,11.9,13.4,9.6,75.0,0.1,14.4,246.0,1017.1,3.12
2009-01-03,10.4,11.6,9.3,74.0,0.1,30.2,72.0,1015.6,1.32
2009-01-04,9.5,12.2,7.0,60.0,0.0,22.7,336.0,1017.0,8.62
2009-01-05,7.6,11.1,5.5,57.0,0.0,34.2,286.0,1014.4,8.72
2009-01-06,5.4,9.1,2.3,73.0,24.3,28.1,326.0,1010.6,3.02
2009-01-07,4.5,8.4,2.7,65.0,0.5,28.4,304.0,1012.3,4.82
2009-01-08,4.2,7.1,1.5,58.0,0.0,27.0,0.0,1018.4,4.82
2009-01-09,8.7,11.5,4.4,68.0,7.0,27.0,59.0,1018.2,4.22
2009-01-10,10.2,13.8,7.4,74.0,24.3,27.0,305.0,1021.8,7.12
2009-01-11,10.8,15.3,7.4,61.0,0.0,18.0,21.0,1027.8,9.42
2009-01-12,10.8,16.9,6.4,51.0,0.0,14.4,325.0,1025.8,9.82
2009-01-13,9.2,14.3,5.8,49.0,0.0,37.1,314.0,1017.0,9.82
2009-01-14,9.8,14.9,7.2,53.0,0.0,32.0,294.0,1015.5,8.52
2009-01-15,9.6,14.5,6.3,62.0,0.0,28.8,298.0,1015.6,9.82
2009-01-16,10.4,13.9,7.5,66.0,0.0,18.7,98.0,1021.6,6.72
2009-01-17,11.0,16.2,8.6,64.0,0.0,25.9,327.0,1022.7,8.92
2009-01-18,11.2,15.5,6.7,57.0,0.0,31.0,255.0,1018.6,9.42
2009-01-19,13.3,17.2,10.6,67.0,0.0,34.2,281.0,1006.7,8.32
2009-01-20,11.6,14.6,8.5,49.0,0.0,32.0,320.0,1000.9,10.62
2009-01-21,9.1,12.9,5.9,46.0,0.0,31.3,314.0,1009.7,10.72
2009-01-22,9.7,12.1,6.3,55.0,0.1,45.4,314.0,1008.2,6.42
2009-01-23,15.9,21.5,10.8,61.0,0.0,60.5,302.0,997.7,6.92
2009-01-24,13.9,17.0,9.6,42.0,0.0,98.3,266.0,993.7,9.52
2009-01-25,11.9,16.6,9.1,45.0,0.0,41.8,301.0,998.6,11.02
2009-01-26,9.4,13.9,7.9,51.0,0.0,51.5,310.0,1000.1,9.12
2009-01-27,11.0,16.6,7.1,46.0,0.0,49.3,325.0,1008.0,11.52
2009-01-28,11.7,17.0,7.6,49.0,0.0,30.2,305.0,1011.2,10.62
2009-01-29,12.2,14.3,9.7,70.0,0.0,16.2,165.0,1013.7,4.72
2009-01-30,13.3,14.9,12.4,74.0,0.0,13.3,167.0,1013.4,3.32
2009-01-31,12.3,14.0,10.7,85.0,20.7,28.4,139.0,1004.6,2.42
2009-02-01,10.9,12.5,9.0,81.0,10.2,26.6,209.0,996.8,3.32
2009-02-02,11.1,12.9,8.9,82.0,6.8,18.0,74.0,992.2,3.92
2009-02-03,10.8,13.9,9.3,72.0,11.7,25.9,319.0,997.5,5.92
2009-02-04,12.2,17.1,8.7,61.0,0.0,32.4,276.0,998.8,12.42
2009-02-05,12.0,14.3,10.4,75.0,1.5,20.5,264.0,997.9,4.12
2009-02-06,11.3,14.6,8.7,67.0,0.6,32.0,233.0,991.9,9.22
2009-02-07,9.3,14.3,6.1,51.0,0.0,46.8,327.0,994.6,12.72
2009-02-08,9.4,14.2,5.0,39.0,0.0,44.3,313.0,1005.6,11.42
2009-02-09,12.6,18.3,7.6,57.0,0.0,33.5,285.0,1013.0,10.12
2009-02-10,14.6,18.5,9.8,41.0,0.0,51.5,308.0,1013.7,9.02
2009-02-11,9.8,14.3,7.3,52.0,0.0,54.7,335.0,1017.5,8.82
2009-02-12,10.5,13.4,7.5,60.0,0.0,31.0,217.0,1017.2,12.22
2009-02-13,9.6,11.7,7.1,58.0,0.0,23.0,268.0,1018.7,10.92
2009-02-14,10.3,14.1,7.0,59.0,0.0,23.4,131.0,1018.3,12.52
2009-02-15,8.5,9.6,7.2,50.0,0.0,23.4,78.0,1023.4,6.32
2009-02-16,9.8,11.8,8.4,60.0,0.0,19.8,170.0,1023.1,12.22
2009-02-17,11.6,15.7,7.8,52.0,0.0,28.1,292.0,1021.4,13.72
2009-02-18,13.1,19.9,9.8,49.0,0.0,21.6,269.0,1017.4,14.42
2009-02-19,12.6,16.7,10.0,65.0,0.0,29.5,253.0,1020.8,12.82
2009-02-20,11.0,12.9,8.7,49.0,0.0,22.3,134.0,1026.6,13.12
2009-02-21,10.8,15.4,7.7,61.0,0.0,24.1,334.0,1025.8,12.82
2009-02-22,12.8,18.4,7.6,50.0,0.0,35.3,309.0,1024.1,15.12
2009-02-23,13.1,18.0,10.4,56.0,0.0,29.2,319.0,1017.5,13.82
2009-02-24,12.4,15.8,10.0,65.0,0.0,21.2,168.0,1018.0,14.52
2009-02-25,12.0,15.0,10.3,65.0,0.0,20.2,97.0,1025.9,12.12
2009-02-26,12.5,16.4,9.1,66.0,0.0,35.6,235.0,1025.4,15.82
2009-02-27,13.9,18.9,9.3,60.0,0.0,20.2,234.0,1018.6,15.72
2009-02-28,12.0,14.2,9.3,72.0,0.0,19.8,358.0,1014.2,6.52
2009-03-01,12.8,16.1,11.2,72.0,0.0,17.6,189.0,1012.0,6.02
2009-03-02,12.7,15.6,10.2,72.0,0.0,18.0,81.0,1016.6,9.42
2009-03-03,12.0,14.2,9.9,68.0,0.7,22.0,201.0,1015.1,5.62
2009-03-04,10.4,14.0,7.1,71.0,2.9,37.4,296.0,995.9,7.22
2009-03-05,8.7,13.7,6.0,50.0,0.0,62.3,309.0,989.1,13.22
2009-03-06,11.5,18.2,6.6,36.0,0.0,50.8,312.0,999.2,18.22
2009-03-07,12.1,15.5,7.6,40.0,0.0,28.1,350.0,1010.6,18.32
2009-03-08,13.7,17.1,10.7,60.0,0.0,28.1,249.0,1016.1,17.62
2009-03-09,13.5,16.9,11.5,66.0,0.0,24.1,174.0,1020.8,11.22
2009-03-10,14.0,17.6,11.8,64.0,0.0,37.8,256.0,1021.7,18.02
2009-03-11,13.2,16.2,11.7,67.0,0.0,20.2,87.0,1021.5,8.22
2009-03-12,13.5,17.2,10.0,71.0,0.0,26.6,251.0,1024.5,17.82
2009-03-13,15.2,19.9,10.8,62.0,0.0,32.0,253.0,1020.5,18.92
2009-03-14,16.3,21.7,11.7,53.0,0.0,22.7,81.0,1019.6,18.52
2009-03-15,15.8,20.2,12.7,54.0,0.0,33.1,241.0,1022.8,18.52
2009-03-16,15.4,20.1,11.7,52.0,0.0,36.4,81.0,1024.4,19.72
2009-03-17,15.1,18.7,12.3,44.0,0.0,19.8,135.0,1026.9,20.12
2009-03-18,14.8,19.6,10.4,52.0,0.0,36.0,230.0,1022.8,19.62
2009-03-19,14.6,19.0,10.5,60.0,0.0,29.5,221.0,1016.7,19.42
2009-03-20,14.0,17.2,10.9,55.0,0.0,37.1,115.0,1017.1,19.92
2009-03-21,12.3,15.4,9.4,51.0,0.0,32.4,252.0,1021.0,16.82
2009-03-22,13.3,16.8,9.7,54.0,0.0,31.0,236.0,1023.5,19.82
2009-03-23,15.5,21.4,10.6,47.0,0.0,28.8,207.0,1019.5,21.02
2009-03-24,14.4,21.5,10.9,49.0,0.0,39.6,87.0,1012.8,17.32
2009-03-25,13.7,17.6,9.8,49.0,0.0,44.6,232.0,1014.8,20.82
2009-03-26,13.8,17.0,11.1,63.0,0.0,23.4,268.0,1015.3,16.42
2009-03-27,14.4,18.5,10.4,64.0,0.0,28.1,192.0,1010.7,21.22
2009-03-28,12.6,13.5,10.3,80.0,13.8,36.0,89.0,1001.1,2.92
2009-03-29,12.1,15.7,9.7,71.0,6.3,27.7,237.0,1003.2,11.02
2009-03-30,12.2,14.6,10.4,65.0,0.8,25.9,86.0,1012.3,7.72
2009-03-31,11.1,13.5,9.9,70.0,26.4,26.3,322.0,1011.2,3.52
2009-04-01,12.8,17.7,9.1,67.0,7.0,33.5,77.0,1008.6,9.02
2009-04-02,11.8,12.7,10.9,73.0,8.8,22.3,296.0,1013.9,3.62
2009-04-03,14.0,18.8,10.1,63.0,0.0,22.7,100.0,1018.3,15.02
2009-04-04,14.8,19.7,10.0,65.0,0.0,25.6,208.0,1020.7,22.12
2009-04-05,15.1,19.7,11.8,69.0,0.0,26.6,237.0,1020.1,21.52
2009-04-06,15.5,19.6,11.5,65.0,0.0,23.8,227.0,1015.1,22.12
2009-04-07,13.4,16.0,11.2,77.0,25.1,51.1,51.0,1010.2,6.52
2009-04-08,14.1,16.9,11.7,62.0,2.4,36.0,9.0,1014.5,6.62
2009-04-09,15.0,19.0,10.9,66.0,0.0,22.3,72.0,1014.7,22.42
2009-04-10,13.5,14.7,12.5,81.0,1.0,30.2,94.0,1007.7,6.22
2009-04-11,13.3,15.6,10.8,67.0,5.2,41.0,80.0,1003.8,17.72
2009-04-12,12.2,15.9,9.6,68.0,6.2,27.7,339.0,1007.8,8.22
2009-04-13,17.1,23.7,12.3,48.0,0.1,32.0,318.0,1008.5,23.22
2009-04-14,15.2,19.1,12.1,68.0,0.0,20.5,159.0,1007.8,23.72
2009-04-15,15.5,19.2,12.8,67.0,0.1,34.6,217.0,1007.0,19.42
2009-04-16,15.4,19.4,12.4,57.0,1.6,35.3,252.0,1009.4,20.12
2009-04-17,14.3,18.6,11.9,56.0,2.2,36.4,97.0,1012.2,17.52
2009-04-18,14.4,18.1,11.2,68.0,0.0,23.0,167.0,1013.8,20.72
2009-04-19,15.5,19.8,11.4,57.0,0.0,21.6,91.0,1016.3,23.32
2009-04-20,15.6,19.7,12.8,57.0,0.0,24.5,115.0,1018.4,18.52
2009-04-21,18.5,24.7,13.7,50.0,0.4,32.4,167.0,1016.9,18.12
2009-04-22,20.8,27.4,16.7,37.0,0.0,32.8,329.0,1016.8,23.22
2009-04-23,21.2,27.5,15.5,39.0,0.0,27.4,254.0,1015.6,26.62
2009-04-24,17.3,20.9,14.7,59.0,0.0,32.8,85.0,1012.9,24.72
2009-04-25,16.3,19.4,14.0,70.0,0.0,46.8,75.0,1009.2,20.32
2009-04-26,15.5,20.4,11.2,70.0,15.1,47.5,260.0,1006.7,16.32
2009-04-27,15.9,21.7,11.1,54.0,0.7,37.1,237.0,1007.9,23.92
2009-04-28,16.0,18.7,13.5,63.0,0.0,30.6,70.0,1008.5,20.32
2009-04-29,15.9,20.3,12.4,58.0,0.0,25.6,311.0,1014.7,26.22
2009-04-30,15.6,18.7,13.3,69.0,5.4,21.2,78.0,1015.6,20.72
2009-05-01,17.3,24.5,13.3,59.0,5.6,29.2,6.0,1018.2,17.82
2009-05-02,19.5,24.2,14.5,42.0,0.0,22.7,212.0,1022.5,27.92
2009-05-03,19.9,25.5,15.9,47.0,0.0,27.7,195.0,1021.8,26.72
2009-05-04,19.1,24.0,16.7,59.0,0.0,20.9,149.0,1020.4,21.52
2009-05-05,18.3,21.1,15.1,54.0,0.0,25.9,217.0,1021.3,27.12
2009-05-06,20.3,25.5,15.6,51.0,0.0,23.0,223.0,1020.7,27.52
2009-05-07,21.4,26.6,17.6,48.0,0.0,26.6,228.0,1018.1,27.72
2009-05-08,19.6,25.2,16.7,60.0,0.0,20.5,191.0,1018.2,21.72
2009-05-09,17.9,20.7,15.6,76.0,0.0,26.3,68.0,1017.1,18.62
2009-05-10,18.5,21.0,16.2,76.0,0.1,24.5,80.0,1015.2,21.32
2009-05-11,18.0,20.3,16.1,78.0,0.0,38.5,82.0,1013.0,17.32
2009-05-12,19.2,22.3,16.6,76.0,0.0,29.5,85.0,1012.0,24.92
2009-05-13,18.8,24.0,17.0,78.0,0.1,25.2,88.0,1012.8,11.72
2009-05-14,17.1,19.2,14.6,82.0,15.6,33.8,77.0,1009.3,7.02
2009-05-15,17.1,22.6,13.4,55.0,0.0,36.0,312.0,1011.8,29.02
2009-05-16,19.0,23.2,14.4,55.0,0.0,29.2,232.0,1015.2,29.32
2009-05-17,19.4,23.3,15.3,61.0,0.0,30.6,219.0,1015.7,27.12
2009-05-18,18.7,21.6,16.0,66.0,0.0,21.2,86.0,1018.5,27.62
2009-05-19,19.8,23.3,15.5,63.0,0.0,19.8,159.0,1018.9,28.72
2009-05-20,21.3,26.1,17.5,54.0,0.0,24.8,77.0,1018.4,26.22
2009-05-21,21.4,24.4,18.8,64.0,0.0,31.7,86.0,1014.4,25.52
2009-05-22,21.1,24.9,17.8,68.0,0.0,29.2,23.0,1013.4,14.02
2009-05-23,21.4,24.5,19.0,70.0,0.0,31.7,84.0,1013.6,17.82
2009-05-24,21.3,24.8,18.1,73.0,0.0,26.3,70.0,1015.5,19.32
2009-05-25,20.1,23.6,17.8,78.0,0.0,24.1,81.0,1014.9,13.62
2009-05-26,21.4,26.4,17.6,66.0,0.0,32.4,73.0,1017.5,26.72
2009-05-27,21.1,24.9,17.5,49.0,0.0,31.0,220.0,1022.6,27.32
2009-05-28,23.1,28.6,17.6,38.0,0.0,20.9,166.0,1022.6,26.52
2009-05-29,22.2,25.5,19.4,52.0,0.0,28.4,177.0,1018.6,28.72
2009-05-30,23.1,27.7,19.7,49.0,0.0,31.3,196.0,1013.4,29.42
2009-05-31,20.5,24.2,17.9,65.0,0.0,33.5,65.0,1013.8,25.22
2009-06-01,22.0,26.3,18.2,59.0,0.0,32.0,231.0,1014.0,28.72
2009-06-02,23.7,28.4,19.2,49.0,0.0,30.6,204.0,1014.1,28.52
2009-06-03,24.1,27.6,20.6,47.0,0.0,41.4,218.0,1013.0,28.52
2009-06-04,22.5,25.7,19.6,68.0,0.0,23.0,207.0,1011.2,22.32
2009-06-05,21.8,24.2,19.5,70.0,0.6,24.8,219.0,1005.1,10.32
2009-06-06,21.9,26.2,16.9,52.0,3.3,43.9,259.0,1003.8,22.02
2009-06-07,20.8,25.0,16.9,57.0,0.2,26.3,111.0,1009.3,26.22
2009-06-08,21.2,24.5,18.8,67.0,0.0,31.3,255.0,1009.6,17.62
2009-06-09,23.1,28.3,18.7,40.0,0.0,38.9,226.0,1013.5,28.32
2009-06-10,23.1,26.3,19.4,53.0,0.0,39.2,252.0,1017.8,28.02
2009-06-11,22.7,25.8,20.0,62.0,0.0,31.7,73.0,1020.6,28.92
2009-06-12,23.7,27.0,21.1,61.0,0.0,31.3,193.0,1020.3,29.52
