Temp_Media_C,Temp_Maxima_C,Temp_Minima_C,Humedad_Media_Pct,Precip_Total_mm,Presion_Media_hPa,Irrad_Solar_MJm2,Fecha,Viento_Maximo_kmh
8.4,15.9,4.6,64.0,0.0,1033.6,9.12,2000-01-01,
8.4,16.4,4.9,77.0,0.0,1034.6,9.42,2000-01-02,
8.4,15.4,4.4,81.0,0.0,1036.5,9.42,2000-01-03,
7.4,12.9,4.6,78.0,0.0,1034.8,9.92,2000-01-04,
9.1,15.3,5.5,63.0,0.0,1030.4,8.72,2000-01-05,
8.6,15.3,5.8,65.0,0.0,1029.6,10.12,2000-01-06,
8.9,16.0,4.6,69.0,0.0,1032.4,9.62,2000-01-07,
10.0,15.2,7.9,64.0,0.0,1030.8,7.52,2000-01-08,
9.0,12.5,5.5,72.0,14.0,1029.3,4.92,2000-01-09,
6.5,12.2,4.5,81.0,0.0,1035.6,8.22,2000-01-10,
6.0,12.7,3.1,73.0,0.0,1040.6,9.62,2000-01-11,
6.1,12.9,2.6,73.0,0.0,1036.7,9.92,2000-01-12,
5.3,10.6,2.6,83.0,0.0,1028.7,4.82,2000-01-13,
7.0,14.3,4.4,88.0,0.8,1021.9,9.12,2000-01-14,
7.5,11.7,5.8,91.0,0.0,1026.4,6.42,2000-01-15,
8.2,14.9,5.2,80.0,0.0,1030.8,9.32,2000-01-16,
5.7,11.0,3.1,79.0,0.0,1033.8,10.42,2000-01-17,
7.2,11.5,3.2,55.0,0.0,1024.5,11.82,2000-01-18,
9.1,,3.9,55.0,0.0,1025.1,10.82,2000-01-19,
5.4,12.2,2.7,68.0,0.0,1036.1,9.52,2000-01-20,
4.7,9.8,2.1,63.0,0.0,1031.8,11.52,2000-01-21,
3.5,8.0,0.5,62.0,0.0,1026.4,11.72,2000-01-22,
5.3,12.7,0.8,62.0,0.0,1023.1,10.32,2000-01-23,
4.6,11.4,0.9,45.0,0.0,1024.1,11.42,2000-01-24,
1.2,3.6,0.2,93.0,5.0,1028.6,3.42,2000-01-25,
5.3,13.5,1.7,82.0,6.2,1034.5,6.72,2000-01-26,
8.3,16.2,4.6,83.0,1.2,1037.2,10.52,2000-01-27,
8.3,15.6,4.5,82.0,0.0,1033.2,10.62,2000-01-28,
8.2,14.3,5.2,64.0,0.0,1033.3,11.62,2000-01-29,
10.1,18.1,6.0,66.0,0.0,1035.8,10.32,2000-01-30,
13.9,20.3,10.2,54.0,0.0,1035.5,11.22,2000-01-31,
14.2,20.1,9.6,51.0,0.0,1030.8,10.92,2000-02-01,
13.0,19.0,9.3,75.0,0.0,1029.8,11.52,2000-02-02,
12.7,19.4,9.3,54.0,0.0,1035.4,13.12,2000-02-03,
13.1,22.6,6.6,44.0,0.0,1041.1,13.62,2000-02-04,
9.7,16.4,5.4,77.0,0.0,1040.6,14.12,2000-02-05,
8.8,15.3,6.7,90.0,0.0,1036.6,7.52,2000-02-06,
11.0,17.6,6.6,72.0,0.0,1034.7,12.52,2000-02-07,
11.4,14.8,9.1,69.0,0.0,1032.6,8.52,2000-02-08,
12.2,20.1,8.0,69.0,0.0,1034.5,13.72,2000-02-09,
11.4,19.7,7.2,48.0,0.0,1033.2,15.62,2000-02-10,
12.5,19.6,8.0,54.0,0.0,1029.9,13.62,2000-02-11,
8.2,13.9,6.0,87.0,1.0,1034.2,6.72,2000-02-12,
7.8,13.6,5.0,46.0,0.0,1034.6,8.82,2000-02-13,
11.3,23.7,6.6,60.0,0.0,1031.1,15.12,2000-02-14,
12.6,20.2,7.8,70.0,0.0,1029.9,15.02,2000-02-15,
10.4,18.9,6.9,64.0,0.0,1023.4,13.92,2000-02-16,
8.8,21.3,5.1,75.0,0.0,1022.3,14.92,2000-02-17,
